id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
12210,2024-07-30 13:48:42.482700,4.9,3.1,1.5,0.2,0
12209,2024-07-30 13:48:41.474765,5.0,3.5,1.3,0.3,0
12208,2024-07-30 13:48:40.466563,6.7,3.1,4.7,1.5,1
12207,2024-07-30 13:48:39.458739,6.2,3.4,5.4,2.3,2
12206,2024-07-30 13:48:38.454768,4.8,3.4,1.6,0.2,0
12205,2024-07-30 13:48:37.446723,5.1,3.8,1.6,0.2,0
12204,2024-07-30 13:48:36.438906,6.2,2.2,4.5,1.5,1
12203,2024-07-30 13:48:35.430705,4.6,3.2,1.4,0.2,0
12202,2024-07-30 13:48:34.422679,5.8,2.6,4.0,1.2,1
12201,2024-07-30 13:48:33.414631,6.1,3.0,4.9,1.8,2
12200,2024-07-30 13:48:32.406627,6.3,2.7,4.9,1.8,2
12199,2024-07-30 13:48:31.398414,5.5,2.3,4.0,1.3,1
12198,2024-07-30 13:48:30.390294,5.1,3.4,1.5,0.2,0
12197,2024-07-30 13:48:29.377766,4.4,3.2,1.3,0.2,0
12196,2024-07-30 13:48:28.369807,7.2,3.0,5.8,1.6,2
12195,2024-07-30 13:48:27.361952,5.8,2.7,4.1,1.0,1
12194,2024-07-30 13:48:26.353842,4.6,3.2,1.4,0.2,0
12193,2024-07-30 13:48:25.345582,6.4,2.8,5.6,2.1,2
12192,2024-07-30 13:48:24.341726,6.1,3.0,4.9,1.8,2
12191,2024-07-30 13:48:23.333759,5.5,2.6,4.4,1.2,1
12190,2024-07-30 13:48:22.329759,4.4,3.0,1.3,0.2,0
12189,2024-07-30 13:48:21.321465,5.0,3.3,1.4,0.2,0
12188,2024-07-30 13:48:20.313421,6.4,3.1,5.5,1.8,2
12187,2024-07-30 13:48:19.309404,4.5,2.3,1.3,0.3,0
12186,2024-07-30 13:48:18.301492,4.5,2.3,1.3,0.3,0
12185,2024-07-30 13:48:17.293653,4.8,3.4,1.6,0.2,0
12184,2024-07-30 13:48:16.285728,6.7,3.3,5.7,2.5,2
12183,2024-07-30 13:48:15.281823,7.2,3.2,6.0,1.8,2
12182,2024-07-30 13:48:14.274362,6.7,3.0,5.0,1.7,1
12181,2024-07-30 13:48:13.266813,4.6,3.2,1.4,0.2,0
12180,2024-07-30 13:48:12.258948,5.5,2.6,4.4,1.2,1
12179,2024-07-30 13:48:11.250646,4.9,2.4,3.3,1.0,1
12178,2024-07-30 13:48:10.242792,4.6,3.4,1.4,0.3,0
12177,2024-07-30 13:48:09.234879,6.1,2.8,4.7,1.2,1
12176,2024-07-30 13:48:08.230818,6.7,3.1,4.7,1.5,1
12175,2024-07-30 13:48:07.223102,5.2,2.7,3.9,1.4,1
12174,2024-07-30 13:48:06.215520,5.7,2.8,4.1,1.3,1
12173,2024-07-30 13:48:05.207959,7.7,2.8,6.7,2.0,2
12172,2024-07-30 13:48:04.200021,6.7,3.1,4.4,1.4,1
12171,2024-07-30 13:48:03.192269,5.6,2.5,3.9,1.1,1
12170,2024-07-30 13:48:02.184729,6.3,2.3,4.4,1.3,1
12169,2024-07-30 13:48:01.176540,4.6,3.6,1.0,0.2,0
12168,2024-07-30 13:48:00.168627,6.1,3.0,4.6,1.4,1
12167,2024-07-30 13:47:59.164470,6.9,3.2,5.7,2.3,2
12166,2024-07-30 13:47:58.156815,6.0,3.4,4.5,1.6,1
12165,2024-07-30 13:47:57.149070,5.5,2.6,4.4,1.2,1
12164,2024-07-30 13:47:56.141479,4.4,3.2,1.3,0.2,0
12163,2024-07-30 13:47:55.133485,5.5,2.4,3.8,1.1,1
12162,2024-07-30 13:47:54.125634,5.9,3.0,4.2,1.5,1
12161,2024-07-30 13:47:53.117886,4.9,2.4,3.3,1.0,1
12160,2024-07-30 13:47:52.110058,5.4,3.7,1.5,0.2,0
12159,2024-07-30 13:47:51.101995,5.1,3.8,1.6,0.2,0
12158,2024-07-30 13:47:50.094255,5.1,3.3,1.7,0.5,0
12157,2024-07-30 13:47:49.085906,5.2,2.7,3.9,1.4,1
12156,2024-07-30 13:47:48.078275,4.8,3.4,1.9,0.2,0
12155,2024-07-30 13:47:47.074057,6.8,3.0,5.5,2.1,2
12154,2024-07-30 13:47:46.066202,5.1,3.8,1.5,0.3,0
12153,2024-07-30 13:47:45.058373,5.4,3.9,1.7,0.4,0
12152,2024-07-30 13:47:44.050335,5.6,3.0,4.1,1.3,1
12151,2024-07-30 13:47:43.042587,5.9,3.0,5.1,1.8,2
12150,2024-07-30 13:47:42.034864,6.4,2.8,5.6,2.1,2
12149,2024-07-30 13:47:41.027048,4.4,2.9,1.4,0.2,0
12148,2024-07-30 13:47:40.020160,6.4,3.2,5.3,2.3,2
12147,2024-07-30 13:47:39.012182,5.7,2.5,5.0,2.0,2
12146,2024-07-30 13:47:38.004436,4.6,3.2,1.4,0.2,0
12145,2024-07-30 13:47:36.996636,6.8,3.2,5.9,2.3,2
12144,2024-07-30 13:47:35.988825,5.0,3.2,1.2,0.2,0
12143,2024-07-30 13:47:34.980558,5.1,3.7,1.5,0.4,0
12142,2024-07-30 13:47:33.973018,6.7,3.1,4.7,1.5,1
12141,2024-07-30 13:47:32.965173,6.4,2.8,5.6,2.2,2
12140,2024-07-30 13:47:31.957364,6.3,3.3,4.7,1.6,1
12139,2024-07-30 13:47:30.949883,5.4,3.9,1.7,0.4,0
12138,2024-07-30 13:47:29.946093,5.6,2.5,3.9,1.1,1
12137,2024-07-30 13:47:28.938335,7.9,3.8,6.4,2.0,2
12136,2024-07-30 13:47:27.930394,6.0,2.9,4.5,1.5,1
12135,2024-07-30 13:47:26.922681,4.6,3.4,1.4,0.3,0
12134,2024-07-30 13:47:25.914875,7.4,2.8,6.1,1.9,2
12133,2024-07-30 13:47:24.907010,6.1,2.6,5.6,1.4,2
12132,2024-07-30 13:47:23.899202,4.7,3.2,1.6,0.2,0
12131,2024-07-30 13:47:22.891162,6.3,2.5,4.9,1.5,1
12130,2024-07-30 13:47:21.883269,5.1,3.4,1.5,0.2,0
12129,2024-07-30 13:47:20.879561,5.0,3.4,1.5,0.2,0
12128,2024-07-30 13:47:19.871720,5.6,3.0,4.1,1.3,1
12127,2024-07-30 13:47:18.863839,4.5,2.3,1.3,0.3,0
12126,2024-07-30 13:47:17.854924,5.5,2.5,4.0,1.3,1
12125,2024-07-30 13:47:16.847167,7.4,2.8,6.1,1.9,2
12124,2024-07-30 13:47:15.843328,6.5,3.0,5.5,1.8,2
12123,2024-07-30 13:47:14.835476,5.0,3.6,1.4,0.2,0
12122,2024-07-30 13:47:13.827704,5.2,2.7,3.9,1.4,1
12121,2024-07-30 13:47:12.819689,5.6,2.9,3.6,1.3,1
12120,2024-07-30 13:47:11.811727,5.2,3.5,1.5,0.2,0
12119,2024-07-30 13:47:10.804257,6.5,3.2,5.1,2.0,2
12118,2024-07-30 13:47:09.796660,6.1,3.0,4.6,1.4,1
12117,2024-07-30 13:47:08.788819,6.7,3.3,5.7,2.1,2
12116,2024-07-30 13:47:07.776811,6.3,2.9,5.6,1.8,2
12115,2024-07-30 13:47:06.769071,6.6,2.9,4.6,1.3,1
12114,2024-07-30 13:47:05.761213,5.0,3.3,1.4,0.2,0
12113,2024-07-30 13:47:04.753439,6.5,3.0,5.2,2.0,2
12112,2024-07-30 13:47:03.745451,6.5,3.0,5.8,2.2,2
12111,2024-07-30 13:47:02.737347,5.5,2.4,3.8,1.1,1
